AIRPORT2703,AIRPORT2703,"Dr. Luis Maria Argaña International Airport","Mariscal Estigarribia","Paraguay",null,"SGME"
AIRPORT2702,AIRPORT2702,"Itaipú Airport","Itaipu","Paraguay",null,"SGIB"
AIRPORT8000,AIRPORT8000,"Gostomel Airport","Kiev","Ukraine","GML","UKKM"
AIRPORT2701,AIRPORT2701,"Teniente Col Carmelo Peralta Airport","Conception","Paraguay","CIO","SGCO"
AIRPORT2700,AIRPORT2700,"Juan De Ayolas Airport","Ayolas","Paraguay",null,"SGAY"
AIRPORT9799,AIRPORT9799,"Danville Regional Airport","Danville","United States","DAN","KDAN"
AIRPORT9798,AIRPORT9798,"Charleston Executive Airport","Charleston","United States","JZI","KJZI"
AIRPORT9797,AIRPORT9797,"Wilkes County Airport","North Wilkesboro","United States","UKF","KUKF"
AIRPORT9796,AIRPORT9796,"Elliot Lake Municipal Airport","ELLIOT LAKE","Canada","YEL","CYEL"
AIRPORT9795,AIRPORT9795,"Kestrel Airpark","San Antonio","United States",null,"K1T7"
AIRPORT9794,AIRPORT9794,"Iraan Municipal Airport","Iraan","United States",null,"K2F0"
AIRPORT9793,AIRPORT9793,"Lakeway Airpark","Lakeway","United States",null,"K3R9"
AIRPORT9792,AIRPORT9792,"Brenham Municipal Airport","Brenham","United States",null,"K11R"
AIRPORT9791,AIRPORT9791,"Lago Vista Tx Rusty Allen Airport","Lago Vista","United States",null,"KRYW"
AIRPORT9790,AIRPORT9790,"Austin Executive Airport","Austin","United States",null,"KEDC"
AIRPORT9789,AIRPORT9789,"Denton Municipal Airport","Denton","United States",null,"KDTO"
AIRPORT9788,AIRPORT9788,"Mesquite Metro Airport","Misquite","United States",null,"KHQZ"
AIRPORT9787,AIRPORT9787,"Ada Municipal Airport","Ada","United States",null,"KADH"
AIRPORT9786,AIRPORT9786,"Hamilton Municipal Airport","Hamilton","United States",null,"KMNZ"
AIRPORT9784,AIRPORT9784,"Perry Municipal Airport","Perry","United States",null,"KF22"
AIRPORT9783,AIRPORT9783,"Stephenville Clark Regional Airport","Stephenville","United States",null,"KSEP"
AIRPORT9782,AIRPORT9782,"Shreveport Downtown Airport","Shreveport","United States",null,"KDTN"
AIRPORT9781,AIRPORT9781,"Wiley Post Airport","Oklahoma City","United States",null,"KPWA"
AIRPORT9780,AIRPORT9780,"Strother Field","Winfield","United States",null,"KWLD"
AIRPORT9779,AIRPORT9779,"Clinton Sherman Airport","Clinton","United States",null,"KCSM"
AIRPORT9778,AIRPORT9778,"Cushing Municipal Airport","Cushing","United States",null,"KCUH"
AIRPORT9777,AIRPORT9777,"Okmulgee Regional Airport","Okmulgee","United States",null,"KOKM"
AIRPORT9776,AIRPORT9776,"Stillwater Regional Airport","Stillwater","United States",null,"KSWO"
AIRPORT9774,AIRPORT9774,"Mocopulli Airport","Castro","Chile","MHC","SCPQ"
AIRPORT9773,AIRPORT9773,"Hyde County Airport","Engelhard","United States","7W6","K7W6"
AIRPORT9772,AIRPORT9772,"Warren Field","Washington","United States","OCW","KOCW"
AIRPORT7599,AIRPORT7599,"Maiana Airport","Maiana","Kiribati","MNK","NGMA"
AIRPORT9771,AIRPORT9771,"Cacoal Airport","Cacoal","Brazil","OAL","SSKW"
AIRPORT7598,AIRPORT7598,"Makin Island Airport","Makin","Kiribati","MTK","NGMN"
AIRPORT7597,AIRPORT7597,"Butaritari Atoll Airport","Butaritari","Kiribati","BBG","NGTU"
AIRPORT7596,AIRPORT7596,"Nikunau Airport","Nikunau","Kiribati","NIG","NGNU"
AIRPORT7595,AIRPORT7595,"Beru Airport","Beru Island","Kiribati","BEZ","NGBR"
AIRPORT7594,AIRPORT7594,"Tamana Island Airport","Tamana","Kiribati","TMN","NGTM"
AIRPORT7593,AIRPORT7593,"Arorae Island Airport","Arorae","Kiribati","AIS","NGTR"
AIRPORT7592,AIRPORT7592,"Kuria Airport","Kuria","Kiribati","KUC","NGKT"
AIRPORT7591,AIRPORT7591,"Buariki Airport","Buariki","Kiribati","AAK","NGUK"
AIRPORT7590,AIRPORT7590,"Abemama Atoll Airport","Abemama","Kiribati","AEA","NGTB"
AIRPORT9769,AIRPORT9769,"Plínio Alarcom Airport","Tres Lagoas","Brazil","TJL","SSTL"
AIRPORT9768,AIRPORT9768,"Tingo Maria Airport","Tingo Maria","Peru","TGI","SPGM"
AIRPORT9763,AIRPORT9763,"Doylestown Airport","Doylestown","United States","DYL","KDYL"
AIRPORT7589,AIRPORT7589,"Marakei Airport","Marakei","Kiribati","MZK","NGMK"
AIRPORT9761,AIRPORT9761,"Bartica A Airport","Bartica","Guyana","GFO","SYBT"
AIRPORT7588,AIRPORT7588,"Douglas Municipal Airport","Douglas","United States","DGL","KDGL"
AIRPORT9760,AIRPORT9760,"Black Point Airstrip","Black Point","Bahamas",null,"MYEB"
AIRPORT7587,AIRPORT7587,"Winslow Lindbergh Regional Airport","Winslow","United States","INW","KINW"
AIRPORT7586,AIRPORT7586,"Lake Havasu City Airport","Lake Havasu City","United States","HII","KHII"
AIRPORT7584,AIRPORT7584,"Los Alamos Airport","Los Alamos","United States","LAM","KLAM"
AIRPORT7583,AIRPORT7583,"Carbon County Regional/Buck Davis Field","Price","United States","PUC","KPUC"
AIRPORT7582,AIRPORT7582,"Richfield Municipal Airport","Richfield","United States","RIF","KRIF"
AIRPORT7581,AIRPORT7581,"Delta Municipal Airport","Delta","United States","DTA","KDTA"
AIRPORT7580,AIRPORT7580,"Steamboat Springs Bob Adams Field","Steamboat Springs","United States","SBS","KSBS"
AIRPORT9759,AIRPORT9759,"Abaco I Walker C Airport","Walker's Cay","Bahamas","WKR","MYAW"
AIRPORT9754,AIRPORT9754,"Causey Airport","Liberty","United States","2A5","K2A5"
AIRPORT9753,AIRPORT9753,"Popham Airport","Popham","United Kingdom",null,"EGHP"
AIRPORT7579,AIRPORT7579,"Provo Municipal Airport","Provo","United States","PVU","KPVU"
AIRPORT7578,AIRPORT7578,"Wilkins Runway","Budd Coast","Antarctica",null,"YWKS"
AIRPORT7577,AIRPORT7577,"Ravensthorpe Airport","Ravensthorpe","Australia","RVT","YNRV"
AIRPORT7576,AIRPORT7576,"Fitzroy Crossing Airport","Fitzroy Crossing","Australia","FIZ","YFTZ"
AIRPORT7575,AIRPORT7575,"Halls Creek Airport","Halls Creek","Australia","HCQ","YHLC"
AIRPORT7574,AIRPORT7574,"Hamilton Airport","Hamilton","Australia","HLT","YHML"
AIRPORT7573,AIRPORT7573,"Lizard Island Airport","Lizard Island","Australia","LZR","YLZI"
AIRPORT7572,AIRPORT7572,"Dunk Island Airport","Dunk Island","Australia","DKI","YDKI"
AIRPORT7571,AIRPORT7571,"Bathurst Island Airport","Bathurst Island","Australia","BRT","YBTI"
AIRPORT7570,AIRPORT7570,"Walgett Airport","Walgett","Australia","WGE","YWLG"
AIRPORT9749,AIRPORT9749,"Bedwell Harbour Seaplane Base","Bedwell Harbour","Canada","YBW","CAB3"
AIRPORT9746,AIRPORT9746,"Tok Airport","Tok","United States",null,"PATJ"
AIRPORT9744,AIRPORT9744,"Napaskiak Airport","Napaskiak","United States","PKA","PAPK"
AIRPORT7569,AIRPORT7569,"Derby Airport","Derby","Australia","DRB","YDBY"
AIRPORT7566,AIRPORT7566,"Barrow Island Airport","Barrow Island","Australia","BWB","YBWX"
AIRPORT7565,AIRPORT7565,"Daşoguz Airport","Dasoguz","Turkmenistan","TAZ","UTAT"
AIRPORT7563,AIRPORT7563,"Kulob Airport","Kulyab","Tajikistan","TJU","UTDK"
AIRPORT7560,AIRPORT7560,"Lubang Airport","Lubang","Philippines","LBX","RPLU"
AIRPORT9739,AIRPORT9739,"Napakiak Airport","Napakiak","United States","WNA","PANA"
AIRPORT7559,AIRPORT7559,"Borongan Airport","Borongan","Philippines","BPR","RPVW"
AIRPORT7558,AIRPORT7558,"Ulaangom Airport","Ulaangom","Mongolia","ULO","ZMUG"
AIRPORT7557,AIRPORT7557,"Bulgan Airport","Bulgan","Mongolia","UGA","ZMBN"
AIRPORT7556,AIRPORT7556,"Donoi Airport","Uliastai","Mongolia",null,"ZMDN"
AIRPORT7552,AIRPORT7552,"Aguni Airport","Aguni","Japan","AGJ","RORA"
AIRPORT7551,AIRPORT7551,"Kikai Airport","Kikai","Japan","KKX","RJKI"
AIRPORT7550,AIRPORT7550,"Amakusa Airport","Amakusa","Japan","AXJ","RJDA"
AIRPORT3199,AIRPORT3199,"Noi Bai International Airport","Hanoi","Vietnam","HAN","VVNB"
AIRPORT3198,AIRPORT3198,"Kep Air Base","Kep","Vietnam",null,"VVKP"
AIRPORT3197,AIRPORT3197,"Gia Lam Air Base","Hanoi","Vietnam",null,"VVGL"
AIRPORT3196,AIRPORT3196,"Da Nang International Airport","Danang","Vietnam","DAD","VVDN"
AIRPORT7549,AIRPORT7549,"Tajima Airport","Toyooka","Japan","TJH","RJBT"
AIRPORT7548,AIRPORT7548,"Mosul International Airport","Mosul","Iraq","OSB","ORBM"
AIRPORT7547,AIRPORT7547,"Yasouj Airport","Yasuj","Iran","YES","OISY"
AIRPORT7546,AIRPORT7546,"Persian Gulf International Airport","Khalije Fars","Iran","PGU","OIBP"
AIRPORT7544,AIRPORT7544,"Hopsten Air Base","Hopsten","Germany",null,"ETNP"
AIRPORT7542,AIRPORT7542,"São Jacinto Airport","Aveiro","Portugal",null,"LPAV"
AIRPORT3188,AIRPORT3188,"Rob Muang Airport","Roi Et","Thailand",null,"VTUR"
AIRPORT3187,AIRPORT3187,"Khorat Airport","Nakhon Ratchasima","Thailand",null,"VTUN"
AIRPORT3186,AIRPORT3186,"Loei Airport","Loei","Thailand","LOE","VTUL"
AIRPORT3185,AIRPORT3185,"Surin Airport","Surin","Thailand",null,"VTUJ"
AIRPORT3184,AIRPORT3184,"Sakon Nakhon Airport","Sakon Nakhon","Thailand","SNO","VTUI"
AIRPORT3183,AIRPORT3183,"Udon Thani Airport","Udon Thani","Thailand","UTH","VTUD"
AIRPORT3182,AIRPORT3182,"Trang Airport","Trang","Thailand","TST","VTST"
AIRPORT3181,AIRPORT3181,"Hat Yai International Airport","Hat Yai","Thailand","HDY","VTSS"
AIRPORT3180,AIRPORT3180,"Ranong Airport","Ranong","Thailand","UNN","VTSR"
AIRPORT7538,AIRPORT7538,"Würzburg-Schenkenturm Airport","Wuerzburg","Germany",null,"EDFW"
AIRPORT7536,AIRPORT7536,"Tarempa Airport","Anambas Islands","Indonesia","MWK","WIOM"
AIRPORT7533,AIRPORT7533,"Centro de Lançamento de Alcântara Airport","Alcantara","Brazil",null,"SNCW"
AIRPORT7532,AIRPORT7532,"Carajás Airport","Parauapebas","Brazil","CKS","SBCJ"
AIRPORT7531,AIRPORT7531,"Maturacá Airport","Maturaca","Brazil",null,"SWMK"
AIRPORT3179,AIRPORT3179,"Phuket International Airport","Phuket","Thailand","HKT","VTSP"
AIRPORT3178,AIRPORT3178,"Cha Eian Airport","Nakhon Si Thammarat","Thailand",null,"VTSN"
AIRPORT3177,AIRPORT3177,"Samui Airport","Ko Samui","Thailand","USM","VTSM"
AIRPORT3176,AIRPORT3176,"Pattani Airport","Pattani","Thailand","PAN","VTSK"
AIRPORT3175,AIRPORT3175,"Songkhla Airport","Songkhla","Thailand",null,"VTSH"
AIRPORT3174,AIRPORT3174,"Krabi Airport","Krabi","Thailand","KBV","VTSG"
AIRPORT3173,AIRPORT3173,"Narathiwat Airport","Narathiwat","Thailand","NAW","VTSC"
AIRPORT3172,AIRPORT3172,"Khoun Khan Airport","Satun","Thailand",null,"VTSA"
