AIRPORT11784,AIRPORT11784,"Ignace Municipal Airport","Ignace","Canada","ZUC","CZUC"
AIRPORT11783,AIRPORT11783,"Stewart Airport","Stewart","Canada","ZST","CZST"
AIRPORT11782,AIRPORT11782,"Pincher Creek Airport","Pincher Creek","Canada","WPC","CZPC"
AIRPORT8840,AIRPORT8840,"Villa Airport","Maamigili","Maldives","VAM","VRMV"
AIRPORT11781,AIRPORT11781,"Poplar River Airport","Poplar River","Canada","XPP","CZNG"
AIRPORT11780,AIRPORT11780,"Pikwitonei Airport","Pikwitonei","Canada","PIW","CZMN"
AIRPORT8839,AIRPORT8839,"Robinson Crusoe Airport","San Juan Bautista","Chile",null,"SCIR"
AIRPORT8838,AIRPORT8838,"Anoka County-Blaine Arpt(Janes Field) Airport","Anoka","United States",null,"KANE"
AIRPORT11779,AIRPORT11779,"Thicket Portage Airport","Thicket Portage","Canada","YTD","CZLQ"
AIRPORT11778,AIRPORT11778,"Jenpeg Airport","Jenpeg","Canada","ZJG","CZJG"
AIRPORT11777,AIRPORT11777,"Grand Forks Airport","Grand Forks","Canada","ZGF","CZGF"
AIRPORT8835,AIRPORT8835,"Leesburg Executive Airport","Leesburg","United States","JYO","KJYO"
AIRPORT11776,AIRPORT11776,"Pukatawagan Airport","Pukatawagan","Canada","XPK","CZFG"
AIRPORT8834,AIRPORT8834,"Madison County Executive Airport-Tom Sharp Jr Field","Huntsville","United States",null,"KMDQ"
AIRPORT11775,AIRPORT11775,"Kelsey Airport","Kelsey","Canada","KES","CZEE"
AIRPORT8833,AIRPORT8833,"Iosco County Airport","East Tawas","United States","ECA","K6D9"
AIRPORT11774,AIRPORT11774,"Salmon Arm Airport","Salmon Arm","Canada","YSN","CZAM"
AIRPORT11773,AIRPORT11773,"Beaver Creek Airport","Beaver Creek","Canada","YXQ","CYXQ"
AIRPORT8831,AIRPORT8831,"Moomba Airport","Moomba","Australia","MOO","YOOM"
AIRPORT11772,AIRPORT11772,"Vernon Airport","Vernon","Canada","YVE","CYVK"
AIRPORT11771,AIRPORT11771,"Virden/R.J. (Bob) Andrew Field Regional Aerodrome","Virden","Canada","YVD","CYVD"
AIRPORT11770,AIRPORT11770,"St Leonard Airport","St Leonard","Canada","YSL","CYSL"
AIRPORT2299,AIRPORT2299,"Asahikawa Airport","Asahikawa","Japan","AKJ","RJEC"
AIRPORT2298,AIRPORT2298,"Monbetsu Airport","Monbetsu","Japan","MBE","RJEB"
AIRPORT2297,AIRPORT2297,"Tsushima Airport","Tsushima","Japan","TSJ","RJDT"
AIRPORT2296,AIRPORT2296,"Yamaguchi Ube Airport","Yamaguchi","Japan","UBJ","RJDC"
AIRPORT2295,AIRPORT2295,"Iki Airport","Iki","Japan","IKI","RJDB"
AIRPORT2294,AIRPORT2294,"Wakkanai Airport","Wakkanai","Japan","WKJ","RJCW"
AIRPORT2293,AIRPORT2293,"Tokachi Airport","Tokachi","Japan",null,"RJCT"
AIRPORT2291,AIRPORT2291,"Nakashibetsu Airport","Nakashibetsu","Japan","SHB","RJCN"
AIRPORT2290,AIRPORT2290,"Memanbetsu Airport","Memanbetsu","Japan","MMB","RJCM"
AIRPORT11769,AIRPORT11769,"Smiths Falls-Montague (Russ Beach) Airport","Smiths Falls","Canada","YSH","CYSH"
AIRPORT11768,AIRPORT11768,"Ottawa / Carp Airport","Ottawa","Canada","YRP","CYRP"
AIRPORT11767,AIRPORT11767,"Ottawa / Rockcliffe Airport","Ottawa","Canada","YRO","CYRO"
AIRPORT8825,AIRPORT8825,"Bamiyan Airport","Bamyan","Afghanistan","BIN","OABN"
AIRPORT11766,AIRPORT11766,"St Thomas Municipal Airport","St Thomas","Canada","YQS","CYQS"
AIRPORT8824,AIRPORT8824,"Kalaeloa Airport","Kapolei","United States",null,"PHJR"
AIRPORT11765,AIRPORT11765,"Port Hawkesbury Airport","Port Hawkesbury","Canada","YPS","CYPD"
AIRPORT8823,AIRPORT8823,"Innisfail Airport","Innisfail","Australia","IFL","YIFL"
AIRPORT11764,AIRPORT11764,"Owen Sound / Billy Bishop Regional Airport","Owen Sound","Canada","YOS","CYOS"
AIRPORT8822,AIRPORT8822,"Mount Garnet Airport","Mount Garnet","Australia",null,"YMRT"
AIRPORT11763,AIRPORT11763,"Nejanilini Lake Airport","Nejanilini Lake","Canada",null,"CYNN"
AIRPORT8821,AIRPORT8821,"Roper Bar Airport","Roper Bar","Australia","RPB","YRRB"
AIRPORT11762,AIRPORT11762,"Charlevoix Airport","Charlevoix","Canada","YML","CYML"
AIRPORT8820,AIRPORT8820,"Great Keppel Is Airport","Great Keppel Island","Australia","GKL","YGKL"
AIRPORT11761,AIRPORT11761,"Matane Airport","Matane","Canada","YME","CYME"
AIRPORT11760,AIRPORT11760,"Leaf Rapids Airport","Leaf Rapids","Canada","YLR","CYLR"
AIRPORT2289,AIRPORT2289,"Chitose Air Base","Chitose","Japan","SPK","RJCJ"
AIRPORT2288,AIRPORT2288,"Hakodate Airport","Hakodate","Japan","HKD","RJCH"
AIRPORT2287,AIRPORT2287,"New Chitose Airport","Sapporo","Japan","CTS","RJCC"
AIRPORT2286,AIRPORT2286,"Tokachi-Obihiro Airport","Obihiro","Japan","OBO","RJCB"
AIRPORT2285,AIRPORT2285,"Kohnan Airport","Kohnan","Japan",null,"RJBK"
AIRPORT2284,AIRPORT2284,"Nanki Shirahama Airport","Nanki-shirahama","Japan","SHM","RJBD"
AIRPORT2283,AIRPORT2283,"Iwo Jima Airport","Iwojima","Japan","IWO","RJAW"
AIRPORT2282,AIRPORT2282,"Minami Torishima Airport","Minami Tori Shima","Japan",null,"RJAM"
AIRPORT2281,AIRPORT2281,"Hyakuri Airport","Ibaraki","Japan","IBR","RJAH"
AIRPORT2280,AIRPORT2280,"Matsumoto Airport","Matsumoto","Japan","MMJ","RJAF"
AIRPORT11759,AIRPORT11759,"Key Lake Airport","Key Lake","Canada","YKJ","CYKJ"
AIRPORT11758,AIRPORT11758,"Fort Liard Airport","Fort Liard","Canada","YJF","CYJF"
AIRPORT11757,AIRPORT11757,"Digby / Annapolis Regional Airport","Digby","Canada","YDG","CYID"
AIRPORT8815,AIRPORT8815,"Sidney Municipal-Lloyd W Carr Field","Sidney","United States","SNY","KSNY"
AIRPORT11756,AIRPORT11756,"Haines Junction Airport","Haines Junction","Canada","YHT","CYHT"
AIRPORT11755,AIRPORT11755,"Hope Airport","Hope","Canada","YHE","CYHE"
AIRPORT8813,AIRPORT8813,"Duxford Airport","Duxford","United Kingdom","QFO","EGSU"
AIRPORT11754,AIRPORT11754,"Goderich Airport","Goderich","Canada","YGD","CYGD"
AIRPORT8812,AIRPORT8812,"Old Rhinebeck Airport","Rhinebeck","United States",null,"NY94"
AIRPORT11753,AIRPORT11753,"Amos Magny Airport","Amos","Canada","YEY","CYEY"
AIRPORT8811,AIRPORT8811,"Georgetown Municipal Airport","Georgetown","United States","GTU","KGTU"
AIRPORT11752,AIRPORT11752,"Dolbeau St Felicien Airport","Dolbeau-St-Félicien","Canada","YDO","CYDO"
AIRPORT11751,AIRPORT11751,"Ross River Airport","Ross River","Canada","XRR","CYDM"
AIRPORT11750,AIRPORT11750,"Chetwynd Airport","Chetwynd","Canada","YCQ","CYCQ"
AIRPORT2279,AIRPORT2279,"Narita International Airport","Tokyo","Japan","NRT","RJAA"
AIRPORT2278,AIRPORT2278,"Hualien Airport","Hualien","Taiwan","HUN","RCYU"
AIRPORT2277,AIRPORT2277,"Wang-an Airport","Wang An","Taiwan","WOT","RCWA"
AIRPORT2276,AIRPORT2276,"Taiwan Taoyuan International Airport","Taipei","Taiwan","TPE","RCTP"
AIRPORT2275,AIRPORT2275,"Taipei Songshan Airport","Taipei","Taiwan","TSA","RCSS"
AIRPORT2274,AIRPORT2274,"Pingtung North Airport","Pingtung","Taiwan","PIF","RCSQ"
AIRPORT2273,AIRPORT2273,"Chihhang Air Base","Taitung","Taiwan",null,"RCQS"
AIRPORT2272,AIRPORT2272,"Makung Airport","Makung","Taiwan","MZG","RCQC"
AIRPORT2271,AIRPORT2271,"Hsinchu Air Base","Hsinchu","Taiwan",null,"RCPO"
AIRPORT2270,AIRPORT2270,"Tainan Airport","Tainan","Taiwan","TNN","RCNN"
AIRPORT8809,AIRPORT8809,"Habersham County Airport","Cornelia","United States",null,"KAJR"
AIRPORT8808,AIRPORT8808,"Tom B. David Field","Calhoun","United States",null,"KCZL"
AIRPORT11749,AIRPORT11749,"Blue River Airport","Blue River","Canada","YCP","CYCP"
AIRPORT8807,AIRPORT8807,"Tabing Airport","Padang","Indonesia","PDG","WIMG"
AIRPORT11748,AIRPORT11748,"James T. Field Memorial Aerodrome","Centralia","Canada","YCE","CYCE"
AIRPORT11747,AIRPORT11747,"Nipawin Airport","Nipawin","Canada","YBU","CYBU"
AIRPORT8804,AIRPORT8804,"Beech Factory Airport","Wichita","United States","BEC","KBEC"
AIRPORT11745,AIRPORT11745,"Liverpool South Shore Regional Airport","Liverpool","Canada","","CYAU"
AIRPORT11744,AIRPORT11744,"Alert Bay Airport","Alert Bay","Canada","YAL","CYAL"
AIRPORT8802,AIRPORT8802,"Oconee County Regional Airport","Clemson","United States","CEU","KCEU"
AIRPORT11743,AIRPORT11743,"La Grande-4 Airport","La Grande-4","Canada","YAH","CYAH"
AIRPORT8801,AIRPORT8801,"Cross City Airport","Cross City","United States","CTY","KCTY"
AIRPORT11742,AIRPORT11742,"Union County Airport","Marysville","United States","MRT","KMRT"
AIRPORT11740,AIRPORT11740,"Vrsar Crljenka Airport","Vsar","Croatia",null,"LDPV"
AIRPORT2268,AIRPORT2268,"Taichung Ching Chuang Kang Airport","Taichung","Taiwan","RMQ","RCMQ"
AIRPORT2267,AIRPORT2267,"Lanyu Airport","Lanyu","Taiwan","KYD","RCLY"
AIRPORT2265,AIRPORT2265,"Chiayi Airport","Chiayi","Taiwan","CYI","RCKU"
AIRPORT2264,AIRPORT2264,"Kaohsiung International Airport","Kaohsiung","Taiwan","KHH","RCKH"
AIRPORT2263,AIRPORT2263,"Lyudao Airport","Green Island","Taiwan","GNI","RCGI"
AIRPORT2262,AIRPORT2262,"Taitung Airport","Fengnin","Taiwan","TTT","RCFN"
AIRPORT2261,AIRPORT2261,"Longtan Air Base","Longtang","Taiwan",null,"RCDI"
AIRPORT2260,AIRPORT2260,"Pingtung South Airport","Pingtung","Taiwan",null,"RCDC"
AIRPORT11739,AIRPORT11739,"Hüttenbusch Airport","Huettenbusch","Germany",null,"EDXU"
AIRPORT11738,AIRPORT11738,"Lauenbrück Airport","Lauenbrueck","Germany",null,"EDHU"
AIRPORT11737,AIRPORT11737,"Marburg-Schönstadt Airport","Schoenstadt","Germany",null,"EDFN"
AIRPORT11735,AIRPORT11735,"Reichelsheim Airport","Reichelsheim","Germany",null,"EDFB"
AIRPORT2259,AIRPORT2259,"Kinmen Airport","Kinmen","Taiwan","KNH","RCBS"
AIRPORT2258,AIRPORT2258,"Yap International Airport","Yap","Micronesia","YAP","PTYA"
AIRPORT2257,AIRPORT2257,"Kosrae International Airport","Kosrae","Micronesia","KSA","PTSA"
AIRPORT2256,AIRPORT2256,"Babelthuap Airport","Babelthuap","Palau","ROR","PTRO"
AIRPORT2255,AIRPORT2255,"Pohnpei International Airport","Pohnpei","Micronesia","PNI","PTPN"
AIRPORT2254,AIRPORT2254,"Chuuk International Airport","Chuuk","Micronesia","TKK","PTKK"
AIRPORT2253,AIRPORT2253,"Henderson Field","Midway","Midway Islands","MDY","PMDY"
AIRPORT2252,AIRPORT2252,"Cassidy International Airport","Kiritimati","Kiribati","CXI","PLCH"
AIRPORT2251,AIRPORT2251,"Bucholz Army Air Field","Kwajalein","Marshall Islands","KWA","PKWA"
AIRPORT2250,AIRPORT2250,"Dyess Army Air Field","Kwajalein","Marshall Islands",null,"PKRO"
AIRPORT11722,AIRPORT11722,"Squamish Airport","Squamish","Canada","YSE","CYSE"
AIRPORT11721,AIRPORT11721,"Aschaffenburg Airport","Aschaffenburg","Germany",null,"EDFC"
AIRPORT11720,AIRPORT11720,"Lauterbach Airport","Lauterbach-Wernges","Germany",null,"EDFT"
AIRPORT2249,AIRPORT2249,"Marshall Islands International Airport","Majuro","Marshall Islands","MAJ","PKMJ"
AIRPORT2247,AIRPORT2247,"Tinian International Airport","West Tinian","Northern Mariana Islands","TIQ","PGWT"
AIRPORT2246,AIRPORT2246,"Antonio B. Won Pat International Airport","Agana","Guam","GUM","PGUM"
AIRPORT2245,AIRPORT2245,"Andersen Air Force Base","Andersen","Guam","UAM","PGUA"
AIRPORT2244,AIRPORT2244,"Saipan International Airport","Saipan","Northern Mariana Islands","SPN","PGSN"
AIRPORT2243,AIRPORT2243,"Rota International Airport","Rota","Northern Mariana Islands","ROP","PGRO"
AIRPORT2242,AIRPORT2242,"Canton Island Airport","Canton Island","Kiribati","CIS","PCIS"
AIRPORT2241,AIRPORT2241,"Doha International Airport","Doha","Qatar",null,"OTBD"
AIRPORT2240,AIRPORT2240,"Palmyra Airport","Palmyra","Syria","PMS","OSPR"
AIRPORT11719,AIRPORT11719,"Ærø Airport","Aero","Denmark",null,"EKAE"
AIRPORT11718,AIRPORT11718,"Gelnhausen Airport","Gelnhausen","Germany",null,"EDFG"
AIRPORT11717,AIRPORT11717,"Taroom Airport","Taroom","Australia","XTO","YTAM"
AIRPORT2239,AIRPORT2239,"Bassel Al-Assad International Airport","Latakia","Syria","LTK","OSLK"
AIRPORT2237,AIRPORT2237,"Deir ez-Zor Airport","Deire Zor","Syria","DEZ","OSDZ"
AIRPORT2236,AIRPORT2236,"Damascus International Airport","Damascus","Syria","DAM","OSDI"
AIRPORT2235,AIRPORT2235,"Aleppo International Airport","Aleppo","Syria","ALP","OSAP"
AIRPORT2234,AIRPORT2234,"Basrah International Airport","Basrah","Iraq","BSR","ORMM"
AIRPORT2233,AIRPORT2233,"Zhob Airport","Zhob","Pakistan","PZH","OPZB"
AIRPORT2232,AIRPORT2232,"Wana Airport","Wana","Pakistan",null,"OPWN"
AIRPORT2230,AIRPORT2230,"Talhar Airport","Talhar","Pakistan","BDN","OPTH"
AIRPORT11702,AIRPORT11702,"Opapimiskan Lake Airport","Musselwhite Mine","Canada","KM8","CKM8"
AIRPORT11700,AIRPORT11700,"Siquijor Airport","Siquijor","Philippines",null,"RPVZ"
AIRPORT2229,AIRPORT2229,"Sui Airport","Sui","Pakistan","SUL","OPSU"
AIRPORT2228,AIRPORT2228,"Saidu Sharif Airport","Saidu Sharif","Pakistan","SDT","OPSS"
AIRPORT2227,AIRPORT2227,"Sukkur Airport","Sukkur","Pakistan","SKZ","OPSK"
AIRPORT2225,AIRPORT2225,"Rawalakot Airport","Rawala Kot","Pakistan","RAZ","OPRT"
AIRPORT2224,AIRPORT2224,"Risalpur Air Base","Risalpur","Pakistan",null,"OPRS"
AIRPORT2223,AIRPORT2223,"Benazir Bhutto International Airport","Islamabad","Pakistan","ISB","OPRN"
AIRPORT2222,AIRPORT2222,"Shaikh Zaid Airport","Rahim Yar Khan","Pakistan","RYK","OPRK"
AIRPORT2221,AIRPORT2221,"Quetta International Airport","Quetta","Pakistan","UET","OPQT"
AIRPORT2220,AIRPORT2220,"Qasim Airport","Qasim","Pakistan",null,"OPQS"
AIRPORT2219,AIRPORT2219,"Peshawar International Airport","Peshawar","Pakistan","PEW","OPPS"
AIRPORT2218,AIRPORT2218,"Pasni Airport","Pasni","Pakistan","PSI","OPPI"
AIRPORT2217,AIRPORT2217,"Panjgur Airport","Panjgur","Pakistan","PJG","OPPG"
AIRPORT2216,AIRPORT2216,"Okara Cantonment Airstrip","Okara","Pakistan",null,"OPOK"
AIRPORT2215,AIRPORT2215,"Shaheed Benazirabad Airport","Nawabshah","Pakistan","WNS","OPNH"
AIRPORT2214,AIRPORT2214,"Multan International Airport","Multan","Pakistan","MUX","OPMT"
AIRPORT2213,AIRPORT2213,"Masroor Air Base","Karachi","Pakistan",null,"OPMR"
AIRPORT2212,AIRPORT2212,"Moenjodaro Airport","Moenjodaro","Pakistan","MJD","OPMJ"
AIRPORT2211,AIRPORT2211,"Mianwali Air Base","Mianwali","Pakistan",null,"OPMI"
AIRPORT2210,AIRPORT2210,"Muzaffarabad Airport","Muzaffarabad","Pakistan","MFG","OPMF"
AIRPORT2209,AIRPORT2209,"Mangla Airport","Mangla","Pakistan",null,"OPMA"
AIRPORT2208,AIRPORT2208,"Walton Airport","Lahore","Pakistan",null,"OPLH"
AIRPORT2207,AIRPORT2207,"Alama Iqbal International Airport","Lahore","Pakistan","LHE","OPLA"
AIRPORT2206,AIRPORT2206,"Jinnah International Airport","Karachi","Pakistan","KHI","OPKC"
AIRPORT2205,AIRPORT2205,"Shahbaz Air Base","Jacobsbad","Pakistan",null,"OPJA"
AIRPORT2204,AIRPORT2204,"Gilgit Airport","Gilgit","Pakistan","GIL","OPGT"
AIRPORT2203,AIRPORT2203,"Gwadar International Airport","Gwadar","Pakistan","GWD","OPGD"
AIRPORT2202,AIRPORT2202,"Faisalabad International Airport","Faisalabad","Pakistan","LYP","OPFA"
AIRPORT3999,AIRPORT3999,"Darwin International Airport","Darwin","Australia","DRW","YPDN"
AIRPORT3998,AIRPORT3998,"Palma De Mallorca Airport","Palma de Mallorca","Spain","PMI","LEPA"
AIRPORT3997,AIRPORT3997,"Aasiaat Airport","Aasiaat","Greenland","JEG","BGAA"
AIRPORT3996,AIRPORT3996,"Qasigiannguit Heliport","Qasigiannguit","Greenland","JCH","BGCH"
AIRPORT3995,AIRPORT3995,"Ilulissat Airport","Ilulissat","Greenland","JAV","BGJN"
AIRPORT3994,AIRPORT3994,"Tagbilaran Airport","Tagbilaran","Philippines","TAG","RPVT"
AIRPORT3992,AIRPORT3992,"Kansai International Airport","Osaka","Japan","KIX","RJBB"
AIRPORT9290,AIRPORT9290,"Torit Airport","Torit","South Sudan",null,"HSTR"
AIRPORT3991,AIRPORT3991,"Athen Helenikon Airport","Athens","Greece","HEW","LGAT"
AIRPORT3990,AIRPORT3990,"Emerald Airport","Emerald","Australia","EMD","YEML"
AIRPORT3989,AIRPORT3989,"Erbil International Airport","Erbil","Iraq","EBL","ORER"
AIRPORT3988,AIRPORT3988,"Ministro Pistarini International Airport","Buenos Aires","Argentina","EZE","SAEZ"
AIRPORT3987,AIRPORT3987,"Nevşehir Kapadokya Airport","Nevsehir","Turkey","NAV","LTAZ"
AIRPORT3986,AIRPORT3986,"Memmingen Allgau Airport","Memmingen","Germany","FMM","EDJA"
AIRPORT3985,AIRPORT3985,"Al Badie Airport","Al Badie","Yemen",null,"OYBA"
AIRPORT3984,AIRPORT3984,"Socotra International Airport","Socotra","Yemen","SCT","OYSQ"
AIRPORT3982,AIRPORT3982,"Beihan Airport","Beihan","Yemen","BHN","OYBN"
AIRPORT3980,AIRPORT3980,"Sana'a International Airport","Sanaa","Yemen","SAH","OYSN"
AIRPORT3979,AIRPORT3979,"Al Ghaidah International Airport","Al Ghaidah Intl","Yemen","AAY","OYGD"
AIRPORT9277,AIRPORT9277,"Sandtoft Airfield","Sandtoft","United Kingdom",null,"EGCF"
AIRPORT3978,AIRPORT3978,"Ataq Airport","Ataq","Yemen","AXK","OYAT"
AIRPORT9276,AIRPORT9276,"Elstree Airfield","Elstree","United Kingdom",null,"EGTR"
AIRPORT3977,AIRPORT3977,"Aden International Airport","Aden","Yemen","ADE","OYAA"
AIRPORT3976,AIRPORT3976,"Hodeidah International Airport","Hodeidah","Yemen","HOD","OYHD"
AIRPORT3975,AIRPORT3975,"Ta'izz International Airport","Taiz","Yemen","TAI","OYTZ"
AIRPORT9273,AIRPORT9273,"Kastamonu Airport","Kastamonu","Turkey","KFS","LTAL"
AIRPORT3974,AIRPORT3974,"Mukalla International Airport","Mukalla","Yemen","RIY","OYRN"
AIRPORT3973,AIRPORT3973,"Tbilisi International Airport","Tbilisi","Georgia","TBS","UGTB"
AIRPORT7098,AIRPORT7098,"Russian Mission Airport","Russian Mission","United States","RSH","PARS"
AIRPORT3972,AIRPORT3972,"Kopitnari Airport","Kutaisi","Georgia","KUT","UGKO"
AIRPORT7097,AIRPORT7097,"Marshall Don Hunter Sr Airport","Marshall","United States","MLL","PADM"
AIRPORT1798,AIRPORT1798,"General Pedro Jose Mendez International Airport","Ciudad Victoria","Mexico","CVM","MMCV"
AIRPORT3971,AIRPORT3971,"Batumi International Airport","Batumi","Georgia","BUS","UGSB"
AIRPORT7096,AIRPORT7096,"Kwigillingok Airport","Kwigillingok","United States","KWK","PAGG"
AIRPORT1797,AIRPORT1797,"General Roberto Fierro Villalobos International Airport","Chihuahua","Mexico","CUU","MMCU"
AIRPORT7095,AIRPORT7095,"Kwethluk Airport","Kwethluk","United States","KWT","PFKW"
AIRPORT1796,AIRPORT1796,"Abraham González International Airport","Ciudad Juarez","Mexico","CJS","MMCS"
AIRPORT7094,AIRPORT7094,"Kasigluk Airport","Kasigluk","United States","KUK","PFKA"
AIRPORT1795,AIRPORT1795,"Ingeniero Alberto Acuña Ongay International Airport","Campeche","Mexico","CPE","MMCP"
AIRPORT7093,AIRPORT7093,"Eek Airport","Eek","United States","EEK","PAEE"
AIRPORT1794,AIRPORT1794,"Ciudad Obregón International Airport","Ciudad Obregon","Mexico","CEN","MMCN"
AIRPORT7092,AIRPORT7092,"Nuiqsut Airport","Nuiqsut","United States","NUI","PAQT"
AIRPORT1793,AIRPORT1793,"Chetumal International Airport","Chetumal","Mexico","CTM","MMCM"
AIRPORT1792,AIRPORT1792,"Bachigualato Federal International Airport","Culiacan","Mexico","CUL","MMCL"
AIRPORT7090,AIRPORT7090,"Shageluk Airport","Shageluk","United States","SHX","PAHX"
AIRPORT1791,AIRPORT1791,"Chilpancingo Airport","Chilpancingo","Mexico",null,"MMCH"
AIRPORT1790,AIRPORT1790,"Nuevo Casas Grandes Airport","Nuevo Casas Grandes","Mexico",null,"MMCG"
AIRPORT3969,AIRPORT3969,"Yasser Arafat International Airport","Gaza","Palestine","GZA","LVGZ"
AIRPORT3968,AIRPORT3968,"Massawa International Airport","Massawa","Eritrea","MSW","HHMS"
AIRPORT3967,AIRPORT3967,"Asmara International Airport","Asmara","Eritrea","ASM","HHAS"
AIRPORT3966,AIRPORT3966,"Assab International Airport","Assab","Eritrea","ASA","HHSB"
AIRPORT3965,AIRPORT3965,"Gyumri Shirak Airport","Gyumri","Armenia","LWN","UDSG"
AIRPORT3964,AIRPORT3964,"Zvartnots International Airport","Yerevan","Armenia","EVN","UDYZ"
AIRPORT7089,AIRPORT7089,"Ugnu-Kuparuk Airport","Kuparuk","United States","UUK","PAKU"
AIRPORT3963,AIRPORT3963,"Stepanavan Airport","Stepanavan","Armenia",null,"UDLS"
AIRPORT7088,AIRPORT7088,"Unalakleet Airport","Unalakleet","United States","UNK","PAUN"
AIRPORT1789,AIRPORT1789,"Ciudad del Carmen International Airport","Ciudad Del Carmen","Mexico","CME","MMCE"
AIRPORT3962,AIRPORT3962,"Erebuni Airport","Yerevan","Armenia",null,"UDYE"
AIRPORT7087,AIRPORT7087,"Emmonak Airport","Emmonak","United States","EMK","PAEM"
AIRPORT1788,AIRPORT1788,"Ciudad Acuña New International Airport","Ciudad Acuna","Mexico",null,"MMCC"
AIRPORT7086,AIRPORT7086,"Newport Municipal Airport","Newport","United States","ONP","KONP"
AIRPORT1787,AIRPORT1787,"General Mariano Matamoros Airport","Cuernavaca","Mexico","CVJ","MMCB"
AIRPORT3960,AIRPORT3960,"Panevėžys Air Base","Panevezys","Lithuania","PNV","EYPP"
AIRPORT7085,AIRPORT7085,"Astoria Regional Airport","Astoria","United States","AST","KAST"
AIRPORT1786,AIRPORT1786,"Bahías de Huatulco International Airport","Huatulco","Mexico","HUX","MMBT"
AIRPORT1785,AIRPORT1785,"Jesús Terán Paredo International Airport","Aguascalientes","Mexico","AGU","MMAS"
AIRPORT7083,AIRPORT7083,"Orcas Island Airport","Eastsound","United States","ESD","KORS"
AIRPORT1784,AIRPORT1784,"Del Norte International Airport","Monterrey","Mexico","NTR","MMAN"
AIRPORT7082,AIRPORT7082,"Friday Harbor Airport","Friday Harbor","United States","FRD","KFHR"
AIRPORT1783,AIRPORT1783,"General Juan N Alvarez International Airport","Acapulco","Mexico","ACA","MMAA"
AIRPORT7081,AIRPORT7081,"Mammoth Yosemite Airport","Mammoth Lakes","United States","MMH","KMMH"
AIRPORT1782,AIRPORT1782,"Tinson Pen Airport","Kingston","Jamaica","KTP","MKTP"
AIRPORT7080,AIRPORT7080,"Lemhi County Airport","Salmon","United States","SMN","KSMN"
AIRPORT1781,AIRPORT1781,"Ken Jones Airport","Port Antonio","Jamaica","POT","MKKJ"
AIRPORT1780,AIRPORT1780,"Sangster International Airport","Montego Bay","Jamaica","MBJ","MKJS"
AIRPORT3959,AIRPORT3959,"Vilnius International Airport","Vilnius","Lithuania","VNO","EYVI"
AIRPORT3958,AIRPORT3958,"Palanga International Airport","Palanga","Lithuania","PLQ","EYPA"
AIRPORT3957,AIRPORT3957,"S. Darius and S. Girėnas Airport","Kaunas","Lithuania",null,"EYKS"
AIRPORT9255,AIRPORT9255,"Rakkestad Astorp Airport","Rakkestad","Norway",null,"ENRK"
AIRPORT3956,AIRPORT3956,"Kaunas International Airport","Kaunas","Lithuania","KUN","EYKA"
AIRPORT3955,AIRPORT3955,"Barysiai Airport","Barysiai","Lithuania","HLJ","EYSB"
AIRPORT9253,AIRPORT9253,"Bubovice Airport","Bubovice","Czech Republic",null,"LKBU"
AIRPORT3954,AIRPORT3954,"Šiauliai International Airport","Siauliai","Lithuania","SQQ","EYSA"
AIRPORT9252,AIRPORT9252,"Texas Gulf Coast Regional Airport","Angleton","United States",null,"KLBX"
AIRPORT7079,AIRPORT7079,"McCall Municipal Airport","McCall","United States","MYL","KMYL"
AIRPORT3953,AIRPORT3953,"Riga International Airport","Riga","Latvia","RIX","EVRA"
AIRPORT9251,AIRPORT9251,"Manassas Regional Airport/Harry P. Davis Field","Manassas","United States","MNZ","KHEF"
AIRPORT7078,AIRPORT7078,"Show Low Regional Airport","Show Low","United States","SOW","KSOW"
AIRPORT1779,AIRPORT1779,"Norman Manley International Airport","Kingston","Jamaica","KIN","MKJP"
AIRPORT3952,AIRPORT3952,"Liepāja International Airport","Liepaja","Latvia","LPX","EVLA"
AIRPORT7077,AIRPORT7077,"Sierra Blanca Regional Airport","Ruidoso","United States","SRR","KSRR"
AIRPORT1778,AIRPORT1778,"Boscobel Aerodrome","Ocho Rios","Jamaica","OCJ","MKBS"
AIRPORT7076,AIRPORT7076,"Vernal Regional Airport","Vernal","United States","VEL","KVEL"
AIRPORT1777,AIRPORT1777,"Trujillo Airport","Trujillo","Honduras",null,"MHTJ"
AIRPORT3950,AIRPORT3950,"Daytona Beach International Airport","Daytona Beach","United States","DAB","KDAB"
AIRPORT7075,AIRPORT7075,"Ely Airport Yelland Field","Ely","United States","ELY","KELY"
AIRPORT1776,AIRPORT1776,"Toncontín International Airport","Tegucigalpa","Honduras","TGU","MHTG"
AIRPORT7074,AIRPORT7074,"Canyonlands Field","Moab","United States","CNY","KCNY"
AIRPORT1775,AIRPORT1775,"Tela Airport","Tela","Honduras","TEA","MHTE"
AIRPORT7073,AIRPORT7073,"San Luis Valley Regional Bergman Field","Alamosa","United States","ALS","KALS"
AIRPORT1774,AIRPORT1774,"Juan Manuel Galvez International Airport","Roatan","Honduras","RTB","MHRO"
AIRPORT7072,AIRPORT7072,"Yellowstone Airport","West Yellowstone","United States","WYS","KWYS"
AIRPORT1773,AIRPORT1773,"La Laguna Airport","Guanaja","Honduras","GJA","MHNJ"
AIRPORT7071,AIRPORT7071,"L M Clayton Airport","Wolf Point","United States","OLF","KOLF"
AIRPORT1772,AIRPORT1772,"Ramón Villeda Morales International Airport","San Pedro Sula","Honduras","SAP","MHLM"
