AIRLINE21131,AIRLINE21131,"All America BOPY","0P","PYB","Paraguay",1
AIRLINE21124,AIRLINE21124,"ViaAir","","SRY","United States",1
AIRLINE299,AIRLINE299,"Air Libert","VD","","France",1
AIRLINE298,AIRLINE298,"Ameriflight","","AMF","United States",0
AIRLINE297,AIRLINE297,"Aerolineas Medellin","","AMD","Colombia",0
AIRLINE296,AIRLINE296,"ATMA","","AMA","Kazakhstan",0
AIRLINE295,AIRLINE295,"Air Sunshine","","RSI","United States",1
AIRLINE294,AIRLINE294,"Alta Flights (Charters) Ltd.","","ALZ","Canada",0
AIRLINE293,AIRLINE293,"Alyeska Air Service","","ALY","United States",0
AIRLINE292,AIRLINE292,"Alas Nacionales","","ALW","ALNACIONAL",0
AIRLINE291,AIRLINE291,"Alas de Venezuela","","ALV","Venezuela",0
AIRLINE290,AIRLINE290,"Air Luxor STP","","ALU","Sao Tome and Principe",0
AIRLINE289,AIRLINE289,"Altair Aviation (1986)","","ALQ","Canada",0
AIRLINE288,AIRLINE288,"Alpliner AG","","ALP","Switzerland",0
AIRLINE287,AIRLINE287,"Allegheny Commuter Airlines","","ALO","United States",1
AIRLINE286,AIRLINE286,"Tatarstan Airlines","U9","TAK","Russia",1
AIRLINE285,AIRLINE285,"Arizona Express Airlines","","TMP","United States",0
AIRLINE284,AIRLINE284,"Aero Taxis Cessna","","TND","Mexico",0
AIRLINE283,AIRLINE283,"Aerotransporte de Carga Union","","TNO","Mexico",0
AIRLINE282,AIRLINE282,"Air Wisconsin","ZW","AWI","United States",1
AIRLINE281,AIRLINE281,"America West Airlines","HP","AWE","United States",1
AIRLINE280,AIRLINE280,"Air Lincoln","","ALN","United States",0
AIRLINE279,AIRLINE279,"Air ALM","","ALM","Netherlands Antilles",0
AIRLINE278,AIRLINE278,"Aerovallarta","","ALL","Mexico",0
AIRLINE277,AIRLINE277,"Air Logistics","","ALG","United States",0
AIRLINE276,AIRLINE276,"ACM Air Charter","","BVR","Germany",0
AIRLINE275,AIRLINE275,"Atlantic Southeast Airlines","","CAA","United States",0
AIRLINE274,AIRLINE274,"Aero Coach Aviation","","DFA","United States",0
AIRLINE273,AIRLINE273,"American Flyers","","FYS","United States",0
AIRLINE5584,AIRLINE5584,"Sky Express","XW","SXR","Russia",1
AIRLINE272,AIRLINE272,"Aerotaxis Albatros","","BTS","Mexico",0
AIRLINE271,AIRLINE271,"Allied Command Europe (Mobile Force)","","ALF","Belgium",0
AIRLINE270,AIRLINE270,"Aeroalas Colombia","","ALE","Colombia",0
AIRLINE269,AIRLINE269,"Albion Aviation","","ALD","United Kingdom",0
AIRLINE268,AIRLINE268,"Aero Albatros","","ALB","Mexico",0
AIRLINE267,AIRLINE267,"AK Navigator LLC","","AKZ","Kazakhstan",0
AIRLINE266,AIRLINE266,"Air Nippon Network Co. Ltd.","EH","AKX","Japan",0
AIRLINE265,AIRLINE265,"Angkor Airways","","AKW","Cambodia",0
AIRLINE264,AIRLINE264,"Alkan Air","","AKN","Canada",0
AIRLINE263,AIRLINE263,"Air Kiribati","4A","AKL","Kiribati",1
AIRLINE262,AIRLINE262,"Aklak Air","","AKK","Canada",0
AIRLINE261,AIRLINE261,"Aeromilenio","","MNI","Mexico",0
AIRLINE260,AIRLINE260,"Akhal","","AKH","Turkmenistan",0
AIRLINE3399,AIRLINE3399,"Manx Airlines","","MNX","United Kingdom",0
AIRLINE3398,AIRLINE3398,"Mantrust Asahi Airways","","MTS","Indonesia",0
AIRLINE3397,AIRLINE3397,"Mannion Air Charter","","MAN","United States",0
AIRLINE3396,AIRLINE3396,"Mann Air","","MNR","United Kingdom",0
AIRLINE3395,AIRLINE3395,"Manitoulin Air Services","","MTO","Canada",0
AIRLINE3394,AIRLINE3394,"Manhattan Air","","MHN","United Kingdom",0
AIRLINE3393,AIRLINE3393,"Mango","JE","MNO","South Africa",1
AIRLINE3392,AIRLINE3392,"Mandarin Airlines","AE","MDA","Taiwan",1
AIRLINE3391,AIRLINE3391,"Mandala Airlines","RI","MDL","Indonesia",1
AIRLINE3390,AIRLINE3390,"Manaf International Airways","","MLB","Burundi",0
AIRLINE259,AIRLINE259,"Anikay Air Company","","AKF","Kyrgyzstan",0
AIRLINE258,AIRLINE258,"Arca Aerovias Colombianas Ltda.","","AKC","Colombia",0
AIRLINE257,AIRLINE257,"Aktjubavia","","AKB","Kazakhstan",0
AIRLINE256,AIRLINE256,"Air Jamahiriya Company","","LJA","Libya",0
AIRLINE255,AIRLINE255,"Air Fret Senegal","","ABN","Senegal",0
AIRLINE254,AIRLINE254,"Air BC","","ABL","Canada",0
AIRLINE253,AIRLINE253,"Air Livonia","","LIV","Estonia",0
AIRLINE252,AIRLINE252,"Air Korea Co. Ltd.","","AKA","Republic of Korea",1
AIRLINE251,AIRLINE251,"Ajet","","AJY","Cyprus",0
AIRLINE250,AIRLINE250,"Air Japan","NQ","AJX","Japan",1
AIRLINE3389,AIRLINE3389,"Malév","MA","MAH","Hungary",1
AIRLINE3388,AIRLINE3388,"Malta Wings","","MWS","Malta",0
AIRLINE3387,AIRLINE3387,"Malta Air Charter","R5","MAC","Malta",1
AIRLINE3386,AIRLINE3386,"Malmö Aviation","TF","SCW","Sweden",1
AIRLINE3385,AIRLINE3385,"Malmoe Air Taxi","","LOD","Sweden",0
AIRLINE3384,AIRLINE3384,"Malmo Aviation","","SCW","Sweden",1
